_id,product_name,product_price,content,option,date,rating
6788dbe9adf9449380c2707a,ABC JUICE,43000,제가 직접 갈아마셨던 ABC쥬스와 가장 비슷해서 좋았습니다. 타 제품은 착즙이 대부분이라 ABC해*쥬스의 원래 효*를 모두 기대하기 어려웠는데 라티브 쥬스는 직접 갈아서 쥬스 입자부터 믿고 마실 수 있을거 같았어요.\n포장도 꼼꼼하고 깔끔했었고 아이스팩에 신선하게 배송해주셔서 감사합니다.\n저는 익숙한 맛이었지만 저희 어머니께서는 처음 드시는거라 비트의 흙맛(?)이 좀 강하다고 하셨는데 개인적으로 혹시 이게 좀 불편하신 분이 계실수도 있단 생각이 조금 듭니다. 비트 40/사과25/ 당근 25퍼센트여서 그런것 같아요.\n가격이 조금 부담이었지만 제품이 믿을만하고 찾던 제품이라 만족합니다. 60포짜리로 주문했어요.^^\n앞으로도 정직하게 좋은 쥬스 부탁드립니다!\n리뷰 더보기,,2020.7.19,5
6788dbf4adf9449380c2707b,ABC JUICE,43000,워낙에 인기제품이라 재료 수급이 좋지않아 오래 기다렸지만 포장도 꼼꼼하고 아이스팩에 신선도 유지도 잘되어 배송받았습니다 먹어보고 또 후기 올릴께요,,2020.7.7,5
6788dbfeadf9449380c2707c,ABC JUICE,43000,"포장도 꼼꼼히 잘되어있고 휴대하기 편리하네요\n어제 홈쇼핑서 타사ABC쥬스 판매하는걸 봤는데 가격은 이 제품보다 저렴했지만, 원재료가 역시국산이 아니더라구요. 국산원재료 사용하셔서 믿고 구매했고, 방금 처음 먹어봤는데 맛도 저는 무난하네요. 생고구마 먹는 맛? 착즙한 건더기(?) 오히려 그래서 더 신뢰가 갑니다.남은게 아까워서 포장 뜯어서 물타서 싹 다 먹었네요\n리뷰 더보기",,2020.6.16,5
6788dc08adf9449380c2707d,ABC JUICE,43000,"제 돈주고 사먹은 리얼 후기 입니다.\n아직 오래 마신 후기는 아니지만, 제가 완전 심한 만성변* 입니다. 변*약도 소화시키는 장인임.. 근데 ABC쥬스가 그렇게좋다고 하기에 만들어 먹기 귀찮아서 사서 마셔본 결과 응꼬가 열리네요~ 응*가 나오죠!\n첫 눈에 난 이 쥬스 때문이라는 걸 알았죠 ㅋ 아침1번 저녁1번 하루2번씩 물도 많이 먹었더니 어느 순간부터 똥이 잘 나와요.\n그리고 만성변*분들은 아시죠.. 안에서 아주 굳어서 빼내는데 엄청 힘든거.. 한덩어리 싸자마자 아... 음... 막 이러시죠..\n근데 이거 꾸준히 먹으면 응*가 쑤욱!! 하고 나와요 진짜로 ㅋ 꼭 드세요 ㅋㅋ\n\n이거 광고 아닙니다. 제가 돈 주고 산 직접 리얼 후기 입니다.!\n\n그래서 제가 아빠 엄마 언니 강제로 하루에 2개씩 가방에 싸줌 ㅎㅎ\n\n(2020-05-15 07:44:47 에 등록된 네이버 페이 구매평)\n리뷰 더보기",,2020.5.16,4
6788dc12adf9449380c2707e,ABC JUICE,43000,건강한 느낌이 팍팍 오는 abc쥬스입니다>_\n식욕이 너무 왕성해서 폭식을 일삼다보니;\n\n복부비만에 내장비만이 신경쓰여서 찾아보니\n\nabc쥬스가 좋다고 해서\n\n야채를 평소에 많이 먹지 않는지라\n\n살도 살이지만 야채를 섭취한다는\n\n생각으로 도전했어요.\n\n처음엔 편리하고 자리도 많이 차지 하지 않아\n\n가루제품으로 사서 먹어봤는데\n\n진짜 가루 특유의 냄새에 너무 힘들게 먹었어요.\n\n그래도 극심한 변*인데\n\n아침마다 화** 가는걸로 만족해서\n\n좀 맛난걸로 찾아보자 하다가 찾아서\n\n가격때문에 살짝쿵 고민하다 주문해봤는데\n\n완전 대대만족입니다!\n\n건강한 과채음료 맛에(전 맛에 너무 만족해요♥)\n\n건더기도 좀 있다고 해서 걱정였는데\n\n제기준 거북하지 않고 좋았어요~\n\n과채음료 좋아해선지\n\n그냥 음료수처럼 생각되고 먹을 수 있을 정도예요!\n\n포장도 냉장고에 보관 가능하고\n\n깔끔하고 안심되는 패키지라 더더 좋은 사실!\n\n진짜 앞으로 꾸준히 시켜 먹어보려고요.>_<\n리뷰 더보기,,2020.2.29,5
6788dc1dadf9449380c2707f,ABC JUICE,43000,디**한번 도전해보려고 구매했어요\n많이 주문하려다가 첨 먹는거라\n5일분만 했는데\n꼼꼼하게 포장됬구요\n맛은 전 흙맛 같은건 안느껴져요 ㅋ원래 당근도 좋아하고 ㅋㅋ\n요 주스맛 제가 딱 좋아하는 건강한 느낌의 맛이애요\n\n씹히는것도있고\n배는 고픈 의식은 있으나 배가 포만감 느껴져서 배불러요..단지 제...뇌가 ㅋㅋㅋ 배고프다고만 할뿐 ㅋㅋㅋ\n리뷰 더보기,,2020.2.24,5
6788dc27adf9449380c27080,ABC JUICE,43000,"아 진짜 ,,,\n맨날 설탕이랑 합성착향료 안들어간거 먹이랴고 성분표 엄청 따져가면서사는데\n\n동네엄마한테 abc주스 얘기듣구 사봤는데 이걸 이제야 알다니요 ㅜㅜ,,\n\n배송받자마자 까서 먹어봤는데 생각보다 비트맛이 다른맛에 많이 묻혀서 부담감이없네여\n\n시원하게해뒀다가 아침에 애기 등원하기전에 한포씩먹이면 왠지 공부가잘될거같은 ㄴ느낌.. ㅋㅋㅋ\n\n조만간 재구매할께여 ㅎ\n리뷰 더보기",,2019.8.7,5
6788dc27adf9449380c27081,ABC JUICE,43000,연유님 공구로 사다가 다 떨어져서 주문했어요 비싸긴하지만... 이젠 이 건강한 맛에 중독된 것 같아요 식간 간식으로 혹은 야채가 부족하다 싶으면 꼭 먹어요,[블프 5%] 10일 (ABC주스 10포),2024.12.17,5
6788dc27adf9449380c27082,ABC JUICE,43000,다른곳에서 먹어본 쥬스랑 엄청다르네요\n달달함이 1도없네요ㅜㅜ 이런맛이 몸에 좋은거겠죠?,10일 (밸런스주스 10포),2024.7.24,4
6788dc27adf9449380c27083,ABC JUICE,43000,10개 구매 후 추가로 60개 구매해서\n매일 섭취 중입니다 평생주문각이에요\n하루 시작 라티브 abc가 루틴이 됐네요,[20%] ABC주스 60포,2024.1.6,5
